search_term,mc_title,mc_slug,releaseDate,criticScore,rating,platforms
Tiny Tina’s Wonderlands,Tiny Tina's Wonderlands,tiny-tinas-wonderlands,2022-03-25,78.0,T,"['PC', 'PlayStation 5', 'Xbox Series X', 'PlayStation 4', 'Xbox One']"
Limbo,LIMBO,limbo,2010-07-21,90.0,T,"['Xbox 360', 'PlayStation 3', 'PC', 'PlayStation Vita', 'iOS (iPhone/iPad)', 'Xbox One', 'PlayStation 4', 'Nintendo Switch']"
Sifu,SIFU,sifu,2022-02-08,81.0,M,"['PlayStation 5', 'PlayStation 4', 'PC', 'Nintendo Switch', 'Xbox Series X', 'Xbox One']"
Gigapocalypse,Gigapocalypse,gigapocalypse,2022-08-05,0.0,E10+,"['Xbox Series X', 'PC', 'Nintendo Switch', 'Xbox One', 'PlayStation 4', 'PlayStation 5', 'iOS (iPhone/iPad)']"
Deliver at All Costs,Deliver At All Costs,deliver-at-all-costs,2025-05-22,69.0,T,"['PlayStation 5', 'PC', 'Xbox Series X']"
Happy Game,Happy Game,happy-game,2021-10-28,81.0,,"['PC', 'Nintendo Switch', 'iOS (iPhone/iPad)']"
Dead Island 2,Dead Island 2,dead-island-2,2023-04-21,73.0,M,"['PlayStation 5', 'PlayStation 4', 'Xbox One', 'PC', 'Xbox Series X']"
Touch Type Tale,Touch Type Tale - Strategic Typing,touch-type-tale-strategic-typing,2023-03-28,,,['PC']
Deadtime Defenders,Deadtime Defenders,deadtime-defenders,2025-05-08,0.0,,['PC']
Lego Star Wars: The Skywalker Saga,LEGO Star Wars: The Skywalker Saga,lego-star-wars-the-skywalker-saga,2022-04-05,82.0,E10+,"['PlayStation 5', 'Xbox One', 'PC', 'PlayStation 4', 'Nintendo Switch', 'Xbox Series X']"
